sysnet_id,label,index,class
n01749939,green mamba,64,green mamba
n01751748,sea snake,65,sea snake
n01753488,horned viper,66,horned viper
n01755581,diamondback,67,diamondback
n01756291,sidewinder,68,sidewinder
n01768244,trilobite,69,trilobite
n01770081,harvestman,70,harvestman
n01770393,scorpion,71,scorpion
n01773157,black and gold garden spider,72,black and gold garden spider
n01773549,barn spider,73,barn spider
n01773797,garden spider,74,garden spider
n01774384,black widow,75,black widow
n01774750,tarantula,76,tarantula
n01775062,wolf spider,77,wolf spider
n01776313,tick,78,tick
n01784675,centipede,79,centipede
n01795545,black grouse,80,black grouse
n01796340,ptarmigan,81,ptarmigan
n01797886,ruffed grouse,82,ruffed grouse
n01798484,prairie chicken,83,prairie chicken
n01806143,peacock,84,peacock
n01806567,quail,85,quail
n01807496,partridge,86,partridge
n01817953,African grey,87,African grey
n01818515,macaw,88,macaw
n01819313,sulphur-crested cockatoo,89,sulphur-crested cockatoo
n01820546,lorikeet,90,lorikeet
n01824575,coucal,91,coucal
n01828970,bee eater,92,bee eater
n01829413,hornbill,93,hornbill
n01833805,hummingbird,94,hummingbird
n01843065,jacamar,95,jacamar
n01843383,toucan,96,toucan
n01847000,drake,97,drake
n01855032,red-breasted merganser,98,red-breasted merganser
n01855672,goose,99,goose
n01860187,black swan,100,black swan
n01871265,tusker,101,tusker
n01872401,echidna,102,echidna
n01873310,platypus,103,platypus
n01877812,wallaby,104,wallaby
n01882714,koala,105,koala
n01883070,wombat,106,wombat
n01910747,jellyfish,107,jellyfish
n01914609,sea anemone,108,sea anemone
n01917289,brain coral,109,brain coral
n01924916,flatworm,110,flatworm
n01930112,nematode,111,nematode
n01943899,conch,112,conch
n01944390,snail,113,snail
n01945685,slug,114,slug
n01950731,sea slug,115,sea slug
n01955084,chiton,116,chiton
n01968897,chambered nautilus,117,chambered nautilus
n01978287,Dungeness crab,118,Dungeness crab
n01978455,rock crab,119,rock crab
n01980166,fiddler crab,120,fiddler crab
n01981276,king crab,121,king crab
n01983481,American lobster,122,American lobster
n01984695,spiny lobster,123,spiny lobster
n01985128,crayfish,124,crayfish
n01986214,hermit crab,125,hermit crab
n01990800,isopod,126,isopod
n02002556,white stork,127,white stork
n02002724,black stork,128,black stork
n02006656,spoonbill,129,spoonbill
n02007558,flamingo,130,flamingo
n02009229,little blue heron,131,little blue heron
n02009912,American egret,132,American egret
n02011460,bittern,133,bittern
n02012849,crane,134,crane
n02012849,crane,517,crane
n02013706,limpkin,135,limpkin
n02017213,European gallinule,136,European gallinule
n02018207,American coot,137,American coot
n02018795,bustard,138,bustard
n02025239,ruddy turnstone,139,ruddy turnstone
n02027492,red-backed sandpiper,140,red-backed sandpiper
n02028035,redshank,141,redshank
n02033041,dowitcher,142,dowitcher
n02037110,oystercatcher,143,oystercatcher
n02051845,pelican,144,pelican
n02056570,king penguin,145,king penguin
n02058221,albatross,146,albatross
n02066245,grey whale,147,grey whale
n02071294,killer whale,148,killer whale
n02074367,dugong,149,dugong
n02077923,sea lion,150,sea lion
n02085620,Chihuahua,151,Chihuahua
n02085782,Japanese spaniel,152,Japanese spaniel
n02085936,Maltese dog,153,Maltese dog
n02086079,Pekinese,154,Pekinese
n02086240,Shih-Tzu,155,Shih-Tzu
n02086646,Blenheim spaniel,156,Blenheim spaniel
n02086910,papillon,157,papillon
n02087046,toy terrier,158,toy terrier
n02087394,Rhodesian ridgeback,159,Rhodesian ridgeback
n02088094,Afghan hound,160,Afghan hound
n02088238,basset,161,basset
n02088364,beagle,162,beagle
n02088466,bloodhound,163,bloodhound
n02088632,bluetick,164,bluetick
n02089078,black-and-tan coonhound,165,black-and-tan coonhound
n02089867,Walker hound,166,Walker hound
n02089973,English foxhound,167,English foxhound
n02090379,redbone,168,redbone
n02090622,borzoi,169,borzoi
n02090721,Irish wolfhound,170,Irish wolfhound
n02091032,Italian greyhound,171,Italian greyhound
n02091134,whippet,172,whippet
n02091244,Ibizan hound,173,Ibizan hound
n02091467,Norwegian elkhound,174,Norwegian elkhound
n02091635,otterhound,175,otterhound
n02091831,Saluki,176,Saluki
n02092002,Scottish deerhound,177,Scottish deerhound
n02092339,Weimaraner,178,Weimaraner
n02093256,Staffordshire bullterrier,179,Staffordshire bullterrier
n02093428,American Staffordshire terrier,180,American Staffordshire terrier
n02093647,Bedlington terrier,181,Bedlington terrier
n02093754,Border terrier,182,Border terrier
n02093859,Kerry blue terrier,183,Kerry blue terrier
n02093991,Irish terrier,184,Irish terrier
n02094114,Norfolk terrier,185,Norfolk terrier
n02094258,Norwich terrier,186,Norwich terrier
n02094433,Yorkshire terrier,187,Yorkshire terrier
n02095314,wire-haired fox terrier,188,wire-haired fox terrier
n02095570,Lakeland terrier,189,Lakeland terrier
n02095889,Sealyham terrier,190,Sealyham terrier
n02096051,Airedale,191,Airedale
n02096177,cairn,192,cairn
n02096294,Australian terrier,193,Australian terrier
n02096437,Dandie Dinmont,194,Dandie Dinmont
n02096585,Boston bull,195,Boston bull
n02097047,miniature schnauzer,196,miniature schnauzer
n02097130,giant schnauzer,197,giant schnauzer
n02097209,standard schnauzer,198,standard schnauzer
n02097298,Scotch terrier,199,Scotch terrier
n02097474,Tibetan terrier,200,Tibetan terrier
n02097658,silky terrier,201,silky terrier
n02098105,soft-coated wheaten terrier,202,soft-coated wheaten terrier
n02098286,West Highland white terrier,203,West Highland white terrier
n02098413,Lhasa,204,Lhasa
n02099267,flat-coated retriever,205,flat-coated retriever
n02099429,curly-coated retriever,206,curly-coated retriever
n02099601,golden retriever,207,golden retriever
n02099712,Labrador retriever,208,Labrador retriever
n02099849,Chesapeake Bay retriever,209,Chesapeake Bay retriever
n02100236,German short-haired pointer,210,German short-haired pointer
n02100583,vizsla,211,vizsla
n02100735,English setter,212,English setter
n02100877,Irish setter,213,Irish setter
n02101006,Gordon setter,214,Gordon setter
n02101388,Brittany spaniel,215,Brittany spaniel
n02101556,clumber,216,clumber
n02102040,English springer,217,English springer
n02102177,Welsh springer spaniel,218,Welsh springer spaniel
n02102318,cocker spaniel,219,cocker spaniel
n02102480,Sussex spaniel,220,Sussex spaniel
n02102973,Irish water spaniel,221,Irish water spaniel
n02104029,kuvasz,222,kuvasz
n02104365,schipperke,223,schipperke
n02105056,groenendael,224,groenendael
n02105162,malinois,225,malinois
n02105251,briard,226,briard
n02105412,kelpie,227,kelpie
n02105505,komondor,228,komondor
n02105641,Old English sheepdog,229,Old English sheepdog
n02105855,Shetland sheepdog,230,Shetland sheepdog
n02106030,collie,231,collie
n02106166,Border collie,232,Border collie
n02106382,Bouvier des Flandres,233,Bouvier des Flandres
n02106550,Rottweiler,234,Rottweiler
n02106662,German shepherd,235,German shepherd
n02107142,Doberman,236,Doberman
n02107312,miniature pinscher,237,miniature pinscher
n02107574,Greater Swiss Mountain dog,238,Greater Swiss Mountain dog
n02107683,Bernese mountain dog,239,Bernese mountain dog
n02107908,Appenzeller,240,Appenzeller
n02108000,EntleBucher,241,EntleBucher
n02108089,boxer,242,boxer
n02108422,bull mastiff,243,bull mastiff
n02108551,Tibetan mastiff,244,Tibetan mastiff
n02108915,French bulldog,245,French bulldog
n02109047,Great Dane,246,Great Dane
n02109525,Saint Bernard,247,Saint Bernard
n02109961,Eskimo dog,248,Eskimo dog
n02110063,malamute,249,malamute
n02110185,Siberian husky,250,Siberian husky
n02110341,dalmatian,251,dalmatian
n02110627,affenpinscher,252,affenpinscher
n02110806,basenji,253,basenji
n02110958,pug,254,pug
n02111129,Leonberg,255,Leonberg
n02111277,Newfoundland,256,Newfoundland
n02111500,Great Pyrenees,257,Great Pyrenees
n02111889,Samoyed,258,Samoyed
n02112018,Pomeranian,259,Pomeranian
n02112137,chow,260,chow
n02112350,keeshond,261,keeshond
n02112706,Brabancon griffon,262,Brabancon griffon
n02113023,Pembroke,263,Pembroke
n02113186,Cardigan,264,Cardigan
n02113624,toy poodle,265,toy poodle
n02113712,miniature poodle,266,miniature poodle
n02113799,standard poodle,267,standard poodle
n02113978,Mexican hairless,268,Mexican hairless
n02114367,timber wolf,269,timber wolf
n02114548,white wolf,270,white wolf
n02114712,red wolf,271,red wolf
n02114855,coyote,272,coyote
n02115641,dingo,273,dingo
n02115913,dhole,274,dhole
n02116738,African hunting dog,275,African hunting dog
n02117135,hyena,276,hyena
n02119022,red fox,277,red fox
n02119789,kit fox,278,kit fox
n02120079,Arctic fox,279,Arctic fox
n02120505,grey fox,280,grey fox
n02123045,tabby,281,tabby
n02123159,tiger cat,282,tiger cat
n02123394,Persian cat,283,Persian cat
n02123597,Siamese cat,284,Siamese cat
n02124075,Egyptian cat,285,Egyptian cat
n02125311,cougar,286,cougar
n02127052,lynx,287,lynx
n02128385,leopard,288,leopard
n02128757,snow leopard,289,snow leopard
n02128925,jaguar,290,jaguar
n02129165,lion,291,lion
n02129604,tiger,292,tiger
n02130308,cheetah,293,cheetah
n02132136,brown bear,294,brown bear
n02133161,American black bear,295,American black bear
n02134084,ice bear,296,ice bear
n02134418,sloth bear,297,sloth bear
n02137549,mongoose,298,mongoose
n02138441,meerkat,299,meerkat
n02165105,tiger beetle,300,tiger beetle
n02165456,ladybug,301,ladybug
n02167151,ground beetle,302,ground beetle
n02168699,long-horned beetle,303,long-horned beetle
n02169497,leaf beetle,304,leaf beetle
n02172182,dung beetle,305,dung beetle
n02174001,rhinoceros beetle,306,rhinoceros beetle
n02177972,weevil,307,weevil
n02190166,fly,308,fly
n02206856,bee,309,bee
n02219486,ant,310,ant
n02226429,grasshopper,311,grasshopper
n02229544,cricket,312,cricket
n02231487,walking stick,313,walking stick
n02233338,cockroach,314,cockroach
n02236044,mantis,315,mantis
n02256656,cicada,316,cicada
n02259212,leafhopper,317,leafhopper
n02264363,lacewing,318,lacewing
n02268443,dragonfly,319,dragonfly
n02268853,damselfly,320,damselfly
n02276258,admiral,321,admiral
n02277742,ringlet,322,ringlet
n02279972,monarch,323,monarch
n02280649,cabbage butterfly,324,cabbage butterfly
n02281406,sulphur butterfly,325,sulphur butterfly
n02281787,lycaenid,326,lycaenid
n02317335,starfish,327,starfish
n02319095,sea urchin,328,sea urchin
n02321529,sea cucumber,329,sea cucumber
n02325366,wood rabbit,330,wood rabbit
n02326432,hare,331,hare
n02328150,Angora,332,Angora
n02342885,hamster,333,hamster
n02346627,porcupine,334,porcupine
n02356798,fox squirrel,335,fox squirrel
n02361337,marmot,336,marmot
n02363005,beaver,337,beaver
n02364673,guinea pig,338,guinea pig
n02389026,sorrel,339,sorrel
n02391049,zebra,340,zebra
n02395406,hog,341,hog
n02396427,wild boar,342,wild boar
n02397096,warthog,343,warthog
n02398521,hippopotamus,344,hippopotamus
n02403003,ox,345,ox
n02408429,water buffalo,346,water buffalo
n02410509,bison,347,bison
n02412080,ram,348,ram
n02415577,bighorn,349,bighorn
n02417914,ibex,350,ibex
n02422106,hartebeest,351,hartebeest
n02422699,impala,352,impala
n02423022,gazelle,353,gazelle
n02437312,Arabian camel,354,Arabian camel
n02437616,llama,355,llama
n02441942,weasel,356,weasel
n02442845,mink,357,mink
n02443114,polecat,358,polecat
n02443484,black-footed ferret,359,black-footed ferret
n02444819,otter,360,otter
n02445715,skunk,361,skunk
n02447366,badger,362,badger
n02454379,armadillo,363,armadillo
n02457408,three-toed sloth,364,three-toed sloth
n02480495,orangutan,365,orangutan
n02480855,gorilla,366,gorilla
n02481823,chimpanzee,367,chimpanzee
n02483362,gibbon,368,gibbon
n02483708,siamang,369,siamang
n02484975,guenon,370,guenon
n02486261,patas,371,patas
n02486410,baboon,372,baboon
n02487347,macaque,373,macaque
n02488291,langur,374,langur
n02488702,colobus,375,colobus
n02489166,proboscis monkey,376,proboscis monkey
n02490219,marmoset,377,marmoset
n02492035,capuchin,378,capuchin
n02492660,howler monkey,379,howler monkey
n02493509,titi,380,titi
n02493793,spider monkey,381,spider monkey
n02494079,squirrel monkey,382,squirrel monkey
n02497673,Madagascar cat,383,Madagascar cat
n02500267,indri,384,indri
n02504013,Indian elephant,385,Indian elephant
n02504458,African elephant,386,African elephant
n02509815,lesser panda,387,lesser panda
n02510455,giant panda,388,giant panda
n02514041,barracouta,389,barracouta
n02526121,eel,390,eel
n02536864,coho,391,coho
n02606052,rock beauty,392,rock beauty
n02607072,anemone fish,393,anemone fish
n02640242,sturgeon,394,sturgeon
n02641379,gar,395,gar
n02643566,lionfish,396,lionfish
n02655020,puffer,397,puffer
n02666196,abacus,398,abacus
n02667093,abaya,399,abaya
n02669723,academic gown,400,academic gown
n02672831,accordion,401,accordion
n02676566,acoustic guitar,402,acoustic guitar
n02687172,aircraft carrier,403,aircraft carrier
n02690373,airliner,404,airliner
n02692877,airship,405,airship
n02699494,altar,406,altar
n02701002,ambulance,407,ambulance
n02704792,amphibian,408,amphibian
n02708093,analog clock,409,analog clock
n02727426,apiary,410,apiary
n02730930,apron,411,apron
n02747177,ashcan,412,ashcan
n02749479,assault rifle,413,assault rifle
n02769748,backpack,414,backpack
n02776631,bakery,415,bakery
n02777292,balance beam,416,balance beam
n02782093,balloon,417,balloon
n02783161,ballpoint,418,ballpoint
n02786058,Band Aid,419,Band Aid
n02787622,banjo,420,banjo
n02788148,bannister,421,bannister
n02790996,barbell,422,barbell
n02791124,barber chair,423,barber chair
n02791270,barbershop,424,barbershop
n02793495,barn,425,barn
n02794156,barometer,426,barometer
n02795169,barrel,427,barrel
n02797295,barrow,428,barrow
n02799071,baseball,429,baseball
n02802426,basketball,430,basketball
n02804414,bassinet,431,bassinet
n02804610,bassoon,432,bassoon
n02807133,bathing cap,433,bathing cap
n02808304,bath towel,434,bath towel
n02808440,bathtub,435,bathtub
n02814533,beach wagon,436,beach wagon
n02814860,beacon,437,beacon
n02815834,beaker,438,beaker
n02817516,bearskin,439,bearskin
n02823428,beer bottle,440,beer bottle
n02823750,beer glass,441,beer glass
n02825657,bell cote,442,bell cote
n02834397,bib,443,bib
n02835271,bicycle-built-for-two,444,bicycle-built-for-two
n02837789,bikini,445,bikini
n02840245,binder,446,binder
n02841315,binoculars,447,binoculars
n02843684,birdhouse,448,birdhouse
n02859443,boathouse,449,boathouse
n02860847,bobsled,450,bobsled
n02865351,bolo tie,451,bolo tie
n02869837,bonnet,452,bonnet
n02870880,bookcase,453,bookcase
n02871525,bookshop,454,bookshop
n02877765,bottlecap,455,bottlecap
n02879718,bow,456,bow
n02883205,bow tie,457,bow tie
n02892201,brass,458,brass
n02892767,brassiere,459,brassiere
n02894605,breakwater,460,breakwater
n02895154,breastplate,461,breastplate
n02906734,broom,462,broom
n02909870,bucket,463,bucket
n02910353,buckle,464,buckle
n02916936,bulletproof vest,465,bulletproof vest
n02917067,bullet train,466,bullet train
n02927161,butcher shop,467,butcher shop
n02930766,cab,468,cab
n02939185,caldron,469,caldron
n02948072,candle,470,candle
n02950826,cannon,471,cannon
n02951358,canoe,472,canoe
n02951585,can opener,473,can opener
n02963159,cardigan,474,cardigan
n02965783,car mirror,475,car mirror
n02966193,carousel,476,carousel
n02966687,carpenter's kit,477,carpenter's kit
n02971356,carton,478,carton
n02974003,car wheel,479,car wheel
n02977058,cash machine,480,cash machine
n02978881,cassette,481,cassette
n02979186,cassette player,482,cassette player
n02980441,castle,483,castle
n02981792,catamaran,484,catamaran
n02988304,CD player,485,CD player
n02992211,cello,486,cello
n02992529,cellular telephone,487,cellular telephone
n02999410,chain,488,chain
n03000134,chainlink fence,489,chainlink fence
n03000247,chain mail,490,chain mail
n03000684,chain saw,491,chain saw
n03014705,chest,492,chest
n03016953,chiffonier,493,chiffonier
n03017168,chime,494,chime
n03018349,china cabinet,495,china cabinet
n03026506,Christmas stocking,496,Christmas stocking
n03028079,church,497,church
n03032252,cinema,498,cinema
n03041632,cleaver,499,cleaver
n03042490,cliff dwelling,500,cliff dwelling
n03045698,cloak,501,cloak
n03047690,clog,502,clog
n03062245,cocktail shaker,503,cocktail shaker
n03063599,coffee mug,504,coffee mug
n03063689,coffeepot,505,coffeepot
n03065424,coil,506,coil
n03075370,combination lock,507,combination lock
n03085013,computer keyboard,508,computer keyboard
n03089624,confectionery,509,confectionery
n03095699,container ship,510,container ship
n03100240,convertible,511,convertible
n03109150,corkscrew,512,corkscrew
n03110669,cornet,513,cornet
n03124043,cowboy boot,514,cowboy boot
n03124170,cowboy hat,515,cowboy hat
n03125729,cradle,516,cradle
n03127747,crash helmet,518,crash helmet
n03127925,crate,519,crate
n03131574,crib,520,crib
n03133878,Crock Pot,521,Crock Pot
n03134739,croquet ball,522,croquet ball
n03141823,crutch,523,crutch
n03146219,cuirass,524,cuirass
n03160309,dam,525,dam
n03179701,desk,526,desk
n03180011,desktop computer,527,desktop computer
n03187595,dial telephone,528,dial telephone
n03188531,diaper,529,diaper
n03196217,digital clock,530,digital clock
n03197337,digital watch,531,digital watch
n03201208,dining table,532,dining table
n03207743,dishrag,533,dishrag
n03207941,dishwasher,534,dishwasher
n03208938,disk brake,535,disk brake
n03216828,dock,536,dock
n03218198,dogsled,537,dogsled
n03220513,dome,538,dome
n03223299,doormat,539,doormat
n03240683,drilling platform,540,drilling platform
n03249569,drum,541,drum
n03250847,drumstick,542,drumstick
n03255030,dumbbell,543,dumbbell
n03259280,Dutch oven,544,Dutch oven
n03271574,electric fan,545,electric fan
n03272010,electric guitar,546,electric guitar
n03272562,electric locomotive,547,electric locomotive
n03290653,entertainment center,548,entertainment center
n03291819,envelope,549,envelope
n03297495,espresso maker,550,espresso maker
n03314780,face powder,551,face powder
n03325584,feather boa,552,feather boa
n03337140,file,553,file
n03344393,fireboat,554,fireboat
n03345487,fire engine,555,fire engine
n03347037,fire screen,556,fire screen
n03355925,flagpole,557,flagpole
n03372029,flute,558,flute
n03376595,folding chair,559,folding chair
n03379051,football helmet,560,football helmet
n03384352,forklift,561,forklift
n03388043,fountain,562,fountain
n03388183,fountain pen,563,fountain pen
n03388549,four-poster,564,four-poster
n03393912,freight car,565,freight car
n03394916,French horn,566,French horn
n03400231,frying pan,567,frying pan
n03404251,fur coat,568,fur coat
n03417042,garbage truck,569,garbage truck
n03424325,gasmask,570,gasmask
n03425413,gas pump,571,gas pump
n03443371,goblet,572,goblet
n03444034,go-kart,573,go-kart
n03445777,golf ball,574,golf ball
n03445924,golfcart,575,golfcart
n03447447,gondola,576,gondola
n03447721,gong,577,gong
n03450230,gown,578,gown
n03452741,grand piano,579,grand piano
n03457902,greenhouse,580,greenhouse
n03459775,grille,581,grille
n03461385,grocery store,582,grocery store
n03467068,guillotine,583,guillotine
n03476684,hair slide,584,hair slide
n03476991,hair spray,585,hair spray
n03478589,half track,586,half track
n03481172,hammer,587,hammer
n03482405,hamper,588,hamper
n03483316,hand blower,589,hand blower
n03485407,hand-held computer,590,hand-held computer
n03485794,handkerchief,591,handkerchief
n03492542,hard disc,592,hard disc
n03494278,harmonica,593,harmonica
n03495258,harp,594,harp
n03496892,harvester,595,harvester
n03498962,hatchet,596,hatchet
n03527444,holster,597,holster
n03529860,home theater,598,home theater
n03530642,honeycomb,599,honeycomb
n03532672,hook,600,hook
n03534580,hoopskirt,601,hoopskirt
n03535780,horizontal bar,602,horizontal bar
n03538406,horse cart,603,horse cart
n03544143,hourglass,604,hourglass
n03584254,iPod,605,iPod
n03584829,iron,606,iron
n03590841,jack-o'-lantern,607,jack-o'-lantern
n03594734,jean,608,jean
n03594945,jeep,609,jeep
n03595614,jersey,610,jersey
n03598930,jigsaw puzzle,611,jigsaw puzzle
n03599486,jinrikisha,612,jinrikisha
n03602883,joystick,613,joystick
n03617480,kimono,614,kimono
n03623198,knee pad,615,knee pad
n03627232,knot,616,knot
n03630383,lab coat,617,lab coat
n03633091,ladle,618,ladle
n03637318,lampshade,619,lampshade
n03642806,laptop,620,laptop
n03649909,lawn mower,621,lawn mower
n03657121,lens cap,622,lens cap
n03658185,letter opener,623,letter opener
n03661043,library,624,library
n03662601,lifeboat,625,lifeboat
n03666591,lighter,626,lighter
n03670208,limousine,627,limousine
n03673027,liner,628,liner
n03676483,lipstick,629,lipstick
n03680355,Loafer,630,Loafer
n03690938,lotion,631,lotion
n03691459,loudspeaker,632,loudspeaker
n03692522,loupe,633,loupe
n03697007,lumbermill,634,lumbermill
n03706229,magnetic compass,635,magnetic compass
n03709823,mailbag,636,mailbag
n03710193,mailbox,637,mailbox
n03710637,maillot,638,maillot
n03710721,maillot,639,maillot
n03717622,manhole cover,640,manhole cover
n03720891,maraca,641,maraca
n03721384,marimba,642,marimba
n03724870,mask,643,mask
n03729826,matchstick,644,matchstick
n03733131,maypole,645,maypole
n03733281,maze,646,maze
n03733805,measuring cup,647,measuring cup
n03742115,medicine chest,648,medicine chest
n03743016,megalith,649,megalith
n03759954,microphone,650,microphone
n03761084,microwave,651,microwave
n03763968,military uniform,652,military uniform
n03764736,milk can,653,milk can
n03769881,minibus,654,minibus
n03770439,miniskirt,655,miniskirt
n03770679,minivan,656,minivan
n03773504,missile,657,missile
n03775071,mitten,658,mitten
n03775546,mixing bowl,659,mixing bowl
n03776460,mobile home,660,mobile home
n03777568,Model T,661,Model T
n03777754,modem,662,modem
n03781244,monastery,663,monastery
n03782006,monitor,664,monitor
n03785016,moped,665,moped
n03786901,mortar,666,mortar
n03787032,mortarboard,667,mortarboard
n03788195,mosque,668,mosque
n03788365,mosquito net,669,mosquito net
n03791053,motor scooter,670,motor scooter
n03792782,mountain bike,671,mountain bike
n03792972,mountain tent,672,mountain tent
n03793489,mouse,673,mouse
n03794056,mousetrap,674,mousetrap
n03796401,moving van,675,moving van
n03803284,muzzle,676,muzzle
n03804744,nail,677,nail
n03814639,neck brace,678,neck brace
n03814906,necklace,679,necklace
n03825788,nipple,680,nipple
n03832673,notebook,681,notebook
n03837869,obelisk,682,obelisk
n03838899,oboe,683,oboe
n03840681,ocarina,684,ocarina
n03841143,odometer,685,odometer
n03843555,oil filter,686,oil filter
n03854065,organ,687,organ
n03857828,oscilloscope,688,oscilloscope
n03866082,overskirt,689,overskirt
n03868242,oxcart,690,oxcart
n03868863,oxygen mask,691,oxygen mask
n03871628,packet,692,packet
n03873416,paddle,693,paddle
n03874293,paddlewheel,694,paddlewheel
n03874599,padlock,695,padlock
n03876231,paintbrush,696,paintbrush
n03877472,pajama,697,pajama
n03877845,palace,698,palace
n03884397,panpipe,699,panpipe
n03887697,paper towel,700,paper towel
n03888257,parachute,701,parachute
n03888605,parallel bars,702,parallel bars
n03891251,park bench,703,park bench
n03891332,parking meter,704,parking meter
n03895866,passenger car,705,passenger car
n03899768,patio,706,patio
n03902125,pay-phone,707,pay-phone
n03903868,pedestal,708,pedestal
n03908618,pencil box,709,pencil box
n03908714,pencil sharpener,710,pencil sharpener
n03916031,perfume,711,perfume
n03920288,Petri dish,712,Petri dish
n03924679,photocopier,713,photocopier
n03929660,pick,714,pick
n03929855,pickelhaube,715,pickelhaube
n03930313,picket fence,716,picket fence
n03930630,pickup,717,pickup
n03933933,pier,718,pier
n03935335,piggy bank,719,piggy bank
n03937543,pill bottle,720,pill bottle
n03938244,pillow,721,pillow
n03942813,ping-pong ball,722,ping-pong ball
n03944341,pinwheel,723,pinwheel
n03947888,pirate,724,pirate
n03950228,pitcher,725,pitcher
n03954731,plane,726,plane
n03956157,planetarium,727,planetarium
n03958227,plastic bag,728,plastic bag
n03961711,plate rack,729,plate rack
n03967562,plow,730,plow
n03970156,plunger,731,plunger
n03976467,Polaroid camera,732,Polaroid camera
n03976657,pole,733,pole
n03977966,police van,734,police van
n03980874,poncho,735,poncho
n03982430,pool table,736,pool table
n03983396,pop bottle,737,pop bottle
n03991062,pot,738,pot
n03992509,potter's wheel,739,potter's wheel
n03995372,power drill,740,power drill
n03998194,prayer rug,741,prayer rug
n04004767,printer,742,printer
n04005630,prison,743,prison
n04008634,projectile,744,projectile
n04009552,projector,745,projector
n04019541,puck,746,puck
n04023962,punching bag,747,punching bag
n04026417,purse,748,purse
n04033901,quill,749,quill
n04033995,quilt,750,quilt
n04037443,racer,751,racer
n04039381,racket,752,racket
n04040759,radiator,753,radiator
n04041544,radio,754,radio
n04044716,radio telescope,755,radio telescope
n04049303,rain barrel,756,rain barrel
n04065272,recreational vehicle,757,recreational vehicle
n04067472,reel,758,reel
n04069434,reflex camera,759,reflex camera
n04070727,refrigerator,760,refrigerator
n04074963,remote control,761,remote control
n04081281,restaurant,762,restaurant
n04086273,revolver,763,revolver
n04090263,rifle,764,rifle
n04099969,rocking chair,765,rocking chair
n04111531,rotisserie,766,rotisserie
n04116512,rubber eraser,767,rubber eraser
n04118538,rugby ball,768,rugby ball
n04118776,rule,769,rule
n04120489,running shoe,770,running shoe
n04125021,safe,771,safe
n04127249,safety pin,772,safety pin
n04131690,saltshaker,773,saltshaker
n04133789,sandal,774,sandal
n04136333,sarong,775,sarong
n04141076,sax,776,sax
n04141327,scabbard,777,scabbard
n04141975,scale,778,scale
n04146614,school bus,779,school bus
n04147183,schooner,780,schooner
n04149813,scoreboard,781,scoreboard
n04152593,screen,782,screen
n04153751,screw,783,screw
n04154565,screwdriver,784,screwdriver
n04162706,seat belt,785,seat belt
n04179913,sewing machine,786,sewing machine
n04192698,shield,787,shield
n04200800,shoe shop,788,shoe shop
n04201297,shoji,789,shoji
n04204238,shopping basket,790,shopping basket
n04204347,shopping cart,791,shopping cart
n04208210,shovel,792,shovel
n04209133,shower cap,793,shower cap
n04209239,shower curtain,794,shower curtain
n04228054,ski,795,ski
n04229816,ski mask,796,ski mask
n04235860,sleeping bag,797,sleeping bag
n04238763,slide rule,798,slide rule
n04239074,sliding door,799,sliding door
n04243546,slot,800,slot
